"No.","Time","Source","Destination","Protocol","Length","Info"
"109185","07:26:52.098833","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11279 Ack=7984 Win=27 Len=0 TSval=748814441 TSecr=122139"
"109460","07:26:52.179381","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","259","Application Data"
"109476","07:26:52.183846","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11279 Ack=8177 Win=27 Len=0 TSval=748814526 TSecr=122147"
"112520","07:26:53.067663","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","143","Application Data"
"112566","07:26:53.077115","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"112582","07:26:53.081274","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11356 Ack=8224 Win=27 Len=0 TSval=748815423 TSecr=122237"
"119471","07:26:55.069742","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","147","Application Data"
"119774","07:26:55.158718","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"119789","07:26:55.163216","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11437 Ack=8271 Win=27 Len=0 TSval=748817505 TSecr=122438"
"122954","07:26:56.076914","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","[TCP ACKed unseen segment] , Application Data"
"122970","07:26:56.081036","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","[TCP Previous segment not captured] https(443)  >  33900 [ACK] Seq=11517 Ack=8318 Win=27 Len=0 TSval=748818423 TSecr=122537"
"133271","07:26:59.068314","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","142","Application Data"
"133319","07:26:59.082742","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","[TCP ACKed unseen segment] https(443)  >  33900 [ACK] Seq=11593 Ack=8365 Win=27 Len=0 TSval=748821424 TSecr=122838"
"133395","07:26:59.101957","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","151","[TCP ACKed unseen segment] , Application Data"
"133441","07:26:59.113766","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","[TCP ACKed unseen segment] [TCP Previous segment not captured] , Application Data"
"133595","07:26:59.161153","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","[TCP ACKed unseen segment] https(443)  >  33900 [ACK] Seq=11678 Ack=8412 Win=27 Len=0 TSval=748821503 TSecr=122841"
"143879","07:27:02.068638","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","147","Application Data"
"143993","07:27:02.101275","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"144009","07:27:02.105454","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11759 Ack=8459 Win=27 Len=0 TSval=748824447 TSecr=123140"
"144010","07:27:02.106969","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","162","Application Data"
"144532","07:27:02.256828","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"144718","07:27:02.305162","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11855 Ack=8506 Win=27 Len=0 TSval=748824647 TSecr=123145"
"152047","07:27:04.357785","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","464","Application Data"
"152068","07:27:04.362067","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11855 Ack=8904 Win=27 Len=0 TSval=748826704 TSecr=123366"
"152075","07:27:04.363625","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"152267","07:27:04.418786","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=8904 Ack=11902 Win=5215 Len=0 TSval=123372 TSecr=748826705"
"154734","07:27:05.102307","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","159","Application Data"
"154750","07:27:05.106443","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=8904 Ack=11995 Win=5215 Len=0 TSval=123441 TSecr=748827444"
"154782","07:27:05.114277","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"154944","07:27:05.161161","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11995 Ack=8951 Win=27 Len=0 TSval=748827503 TSecr=123441"
"158922","07:27:06.268999","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","259","Application Data"
"158940","07:27:06.273384","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11995 Ack=9144 Win=27 Len=0 TSval=748828615 TSecr=123557"
"165504","07:27:08.102735","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","143","Application Data"
