"Time","Source","Destination","Info"
"06:06:27.555811","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:27.629596","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=1346 Ack=926 Win=3693 Len=0 TSval=120357 TSecr=66048493"
"06:06:28.104294","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","Encrypted Alert"
"06:06:28.178720","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","41612  >  https(443) [ACK] Seq=1 Ack=32 Win=411 Len=0 TSval=1214646780 TSecr=3895598321"
"06:06:29.107421","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","Encrypted Alert"
"06:06:29.206977","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","41614  >  https(443) [ACK] Seq=1 Ack=32 Win=411 Len=0 TSval=1214647803 TSecr=3895599324"
"06:06:30.360335","166.104.142.150","api.smartthings.com","36004  >  https(443) [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=120630 TSecr=0 WS=32"
"06:06:30.363506","api.smartthings.com","166.104.142.150","https(443)  >  36004 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM=1 TSval=3323362631 TSecr=120630 WS=256"
"06:06:30.387581","166.104.142.150","api.smartthings.com","36004  >  https(443) [ACK] Seq=1 Ack=1 Win=29216 Len=0 TSval=120631 TSecr=3323362631"
"06:06:30.659710","166.104.142.150","api.smartthings.com","Client Hello"
"06:06:30.662592","api.smartthings.com","166.104.142.150","https(443)  >  36004 [ACK] Seq=1 Ack=238 Win=28160 Len=0 TSval=3323362931 TSecr=120660"
"06:06:30.664406","api.smartthings.com","166.104.142.150","Server Hello"
"06:06:30.664410","api.smartthings.com","166.104.142.150","https(443)  >  36004 [ACK] Seq=1449 Ack=238 Win=28160 Len=1448 TSval=3323362932 TSecr=120660 [TCP segment of a reassembled PDU]"
"06:06:30.664413","api.smartthings.com","166.104.142.150","Certificate, Server Key Exchange, Server Hello Done"
"06:06:30.669435","166.104.142.150","api.smartthings.com","36004  >  https(443) [ACK] Seq=238 Ack=1449 Win=32096 Len=0 TSval=120661 TSecr=3323362932"
"06:06:30.675449","166.104.142.150","api.smartthings.com","36004  >  https(443) [ACK] Seq=238 Ack=2897 Win=35008 Len=0 TSval=120662 TSecr=3323362932"
"06:06:30.675568","166.104.142.150","api.smartthings.com","36004  >  https(443) [ACK] Seq=238 Ack=3310 Win=37888 Len=0 TSval=120662 TSecr=3323362932"
"06:06:30.700608","166.104.142.150","api.smartthings.com","Client Key Exchange"
"06:06:30.700769","166.104.142.150","api.smartthings.com","Change Cipher Spec"
"06:06:30.700830","166.104.142.150","api.smartthings.com","Encrypted Handshake Message"
"06:06:30.709389","api.smartthings.com","166.104.142.150","https(443)  >  36004 [ACK] Seq=3310 Ack=364 Win=28160 Len=0 TSval=3323362978 TSecr=120664"
"06:06:30.709755","api.smartthings.com","166.104.142.150","Change Cipher Spec, Encrypted Handshake Message"
"06:06:30.737161","166.104.142.150","api.smartthings.com","Application Data"
"06:06:30.740772","api.smartthings.com","166.104.142.150","Application Data"
"06:06:30.748622","166.104.142.150","api.smartthings.com","Encrypted Alert"
"06:06:30.751505","api.smartthings.com","166.104.142.150","Encrypted Alert"
"06:06:30.751509","api.smartthings.com","166.104.142.150","https(443)  >  36004 [FIN, ACK] Seq=3591 Ack=526 Win=29184 Len=0 TSval=3323363020 TSecr=120669"
"06:06:30.804625","api.smartthings.com","166.104.142.150","[TCP Retransmission] https(443)  >  36004 [FIN, ACK] Seq=3591 Ack=526 Win=29184 Len=0 TSval=3323363073 TSecr=120669"
"06:06:30.814690","166.104.142.150","api.smartthings.com","36004  >  https(443) [RST, ACK] Seq=526 Ack=3592 Win=40800 Len=0 TSval=120671 TSecr=3323363020"
"06:06:30.814797","166.104.142.150","api.smartthings.com","36004  >  https(443) [RST] Seq=526 Win=0 Len=0"
"06:06:33.133793","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","https(443)  >  41612 [FIN, ACK] Seq=32 Ack=1 Win=123 Len=0 TSval=3895603351 TSecr=1214646780"
"06:06:33.213151","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","41612  >  https(443) [FIN, ACK] Seq=1 Ack=33 Win=411 Len=0 TSval=1214651819 TSecr=3895603351"
"06:06:33.449378","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","https(443)  >  41612 [ACK] Seq=33 Ack=2 Win=123 Len=0 TSval=3895603666 TSecr=1214651819"
"06:06:33.484959","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:33.488265","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=428 Ack=521 Win=337 Len=0 TSval=3599063987 TSecr=1896021274"
"06:06:33.800145","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:33.821166","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=1346 Ack=1195 Win=3753 Len=0 TSval=120975 TSecr=66054737"
"06:06:33.821229","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:33.871047","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1195 Ack=1393 Win=42 Len=0 TSval=66054808 TSecr=120975"
"06:06:33.919114","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:33.922361","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1195 Ack=1792 Win=42 Len=0 TSval=66054859 TSecr=120986"
"06:06:33.922750","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:33.968375","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=1792 Ack=1242 Win=3753 Len=0 TSval=120992 TSecr=66054859"
"06:06:33.977020","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:34.016205","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=521 Ack=498 Win=1372 Len=0 TSval=1896021807 TSecr=3599064109"
"06:06:34.016603","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
